timestamp,ticker,mode,long_score,short_score,confidence_label,signal_type,suggested_entry,stop_loss,target1,target2,reward_risk,atr,rsi14,vwap,rel_volume,outcome_pnl,outcome_note
2026-03-11T15:31:07,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:12,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:17,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:22,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:27,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:32,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:38,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:43,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:48,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:53,SNDK,live,39.3,22.7,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:58,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:03,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:08,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:14,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:19,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:24,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:29,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:34,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:39,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:45,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:50,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:32:55,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:00,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:05,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:11,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:16,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:21,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:26,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:31,SNDK,live,39.3,11.7,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:41,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:47,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:52,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:33:57,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:02,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:07,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:12,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:17,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:23,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:28,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:33,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:38,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:43,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:48,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:53,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:34:58,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:03,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:08,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:14,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:19,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:24,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:29,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:34,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:39,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:44,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:49,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:54,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:35:59,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:04,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:10,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:15,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:20,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:25,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:30,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:35,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:40,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:45,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:50,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:36:55,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:37:00,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:37:06,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
